batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,elements_matrix,elements_kernel,hashkey
2,24,6,307,201,2,0,0,0,576,36,"[2,24,6,307,201,2,0,0,0,576,36]"
59,272,5,16,14,4,0,0,0,73984,25,"[59,272,5,16,14,4,0,0,0,73984,25]"
11,251,4,22,30,3,0,0,1,63001,16,"[11,251,4,22,30,3,0,0,1,63001,16]"
41,263,2,18,25,4,1,1,0,69169,4,"[41,263,2,18,25,4,1,1,0,69169,4]"
5,90,3,104,32,1,1,0,0,8100,9,"[5,90,3,104,32,1,1,0,0,8100,9]"
49,493,1,1,12,1,1,1,1,243049,1,"[49,493,1,1,12,1,1,1,1,243049,1]"
40,34,3,234,289,1,1,0,0,1156,9,"[40,34,3,234,289,1,1,0,0,1156,9]"
52,411,6,21,11,4,1,0,1,168921,36,"[52,411,6,21,11,4,1,0,1,168921,36]"
36,399,4,11,23,1,1,1,0,159201,16,"[36,399,4,11,23,1,1,1,0,159201,16]"
12,359,2,21,1,3,1,1,0,128881,4,"[12,359,2,21,1,3,1,1,0,128881,4]"
26,214,5,23,26,4,0,1,0,45796,25,"[26,214,5,23,26,4,0,1,0,45796,25]"
22,271,2,13,29,4,1,0,1,73441,4,"[22,271,2,13,29,4,1,0,1,73441,4]"
6,166,5,58,17,4,0,0,0,27556,25,"[6,166,5,58,17,4,0,0,0,27556,25]"
60,347,4,18,22,2,1,1,0,120409,16,"[60,347,4,18,22,2,1,1,0,120409,16]"
43,298,1,17,32,1,1,1,1,88804,1,"[43,298,1,17,32,1,1,1,1,88804,1]"
21,200,3,31,35,1,0,1,1,40000,9,"[21,200,3,31,35,1,0,1,1,40000,9]"
16,360,3,23,17,2,0,0,0,129600,9,"[16,360,3,23,17,2,0,0,0,129600,9]"
55,90,1,38,7,2,0,1,0,8100,1,"[55,90,1,38,7,2,0,1,0,8100,1]"
10,208,2,37,38,3,0,1,0,43264,4,"[10,208,2,37,38,3,0,1,0,43264,4]"
15,126,4,43,33,1,0,1,0,15876,16,"[15,126,4,43,33,1,0,1,0,15876,16]"
54,144,6,42,30,1,0,1,0,20736,36,"[54,144,6,42,30,1,0,1,0,20736,36]"
51,396,2,19,11,3,0,1,0,156816,4,"[51,396,2,19,11,3,0,1,0,156816,4]"
34,506,2,11,13,2,1,0,0,256036,4,"[34,506,2,11,13,2,1,0,0,256036,4]"
30,278,5,9,23,1,0,1,1,77284,25,"[30,278,5,9,23,1,0,1,1,77284,25]"
16,468,2,15,13,4,1,0,0,219024,4,"[16,468,2,15,13,4,1,0,0,219024,4]"
14,158,7,47,15,2,0,1,0,24964,49,"[14,158,7,47,15,2,0,1,0,24964,49]"
59,456,4,18,11,3,0,1,1,207936,16,"[59,456,4,18,11,3,0,1,1,207936,16]"
32,368,1,22,19,2,1,0,0,135424,1,"[32,368,1,22,19,2,1,0,0,135424,1]"
33,220,3,35,30,2,0,1,1,48400,9,"[33,220,3,35,30,2,0,1,1,48400,9]"
43,328,1,27,5,2,0,1,1,107584,1,"[43,328,1,27,5,2,0,1,1,107584,1]"
