batchsize,dim_input,dim_output,use_bias,activation_fct,hashkey
30,32680,1188,0,1,"[30,32680,1188,0,1]"
24,1939,367,1,1,"[24,1939,367,1,1]"
59,1270,3231,1,1,"[59,1270,3231,1,1]"
40,30444,350,0,1,"[40,30444,350,0,1]"
6,6791,3737,0,1,"[6,6791,3737,0,1]"
26,21542,1703,1,1,"[26,21542,1703,1,1]"
16,1223,2834,0,1,"[16,1223,2834,0,1]"
59,24252,2409,1,1,"[59,24252,2409,1,1]"
9,14366,2393,1,1,"[9,14366,2393,1,1]"
5,21971,1359,1,1,"[5,21971,1359,1,1]"
35,8980,3953,1,1,"[35,8980,3953,1,1]"
19,4042,827,0,0,"[19,4042,827,0,0]"
51,30883,2401,0,0,"[51,30883,2401,0,0]"
35,12054,3412,0,0,"[35,12054,3412,0,0]"
26,31309,3488,0,1,"[26,31309,3488,0,1]"
55,5908,1210,0,0,"[55,5908,1210,0,0]"
42,2794,1386,0,1,"[42,2794,1386,0,1]"
48,8200,100,1,0,"[48,8200,100,1,0]"
2,30932,250,0,1,"[2,30932,250,0,1]"
33,22956,1520,1,0,"[33,22956,1520,1,0]"
37,10370,4038,0,1,"[37,10370,4038,0,1]"
44,26921,1175,1,0,"[44,26921,1175,1,0]"
62,27532,436,0,1,"[62,27532,436,0,1]"
25,15268,3603,0,1,"[25,15268,3603,0,1]"
39,30526,2270,0,1,"[39,30526,2270,0,1]"
29,9885,3221,1,0,"[29,9885,3221,1,0]"
17,5332,2798,1,0,"[17,5332,2798,1,0]"
33,17930,177,0,0,"[33,17930,177,0,0]"
35,29682,2966,1,0,"[35,29682,2966,1,0]"
64,32740,3787,0,1,"[64,32740,3787,0,1]"
17,26711,2139,0,1,"[17,26711,2139,0,1]"
49,2714,1361,1,1,"[49,2714,1361,1,1]"
30,23527,414,1,0,"[30,23527,414,1,0]"
26,11690,3398,1,1,"[26,11690,3398,1,1]"
36,5117,1648,0,1,"[36,5117,1648,0,1]"
30,302,560,0,0,"[30,302,560,0,0]"
38,30182,3836,1,1,"[38,30182,3836,1,1]"
48,4029,2526,0,1,"[48,4029,2526,0,1]"
45,2715,739,0,0,"[45,2715,739,0,0]"
40,7179,1622,0,0,"[40,7179,1622,0,0]"
42,4704,1592,1,0,"[42,4704,1592,1,0]"
56,26808,3714,0,0,"[56,26808,3714,0,0]"
62,27087,486,1,0,"[62,27087,486,1,0]"
29,21739,2432,1,0,"[29,21739,2432,1,0]"
58,23070,1752,1,1,"[58,23070,1752,1,1]"
35,378,471,0,0,"[35,378,471,0,0]"
20,28117,1274,0,1,"[20,28117,1274,0,1]"
49,25833,2454,0,1,"[49,25833,2454,0,1]"
48,7634,200,1,0,"[48,7634,200,1,0]"
19,14098,2421,0,0,"[19,14098,2421,0,0]"
51,15081,3670,0,1,"[51,15081,3670,0,1]"
41,14141,2824,1,1,"[41,14141,2824,1,1]"
44,23125,2455,0,0,"[44,23125,2455,0,0]"
49,10073,3057,0,0,"[49,10073,3057,0,0]"
19,32316,1529,0,0,"[19,32316,1529,0,0]"
41,9814,3537,0,1,"[41,9814,3537,0,1]"
60,11038,136,0,0,"[60,11038,136,0,0]"
55,24625,3307,1,0,"[55,24625,3307,1,0]"
61,12923,1937,0,0,"[61,12923,1937,0,0]"
34,7543,2783,0,1,"[34,7543,2783,0,1]"
49,28075,1512,0,1,"[49,28075,1512,0,1]"
22,26978,1463,1,0,"[22,26978,1463,1,0]"
8,24324,1092,1,1,"[8,24324,1092,1,1]"
51,30883,1810,1,1,"[51,30883,1810,1,1]"
48,27,517,1,1,"[48,27,517,1,1]"
19,29394,303,1,1,"[19,29394,303,1,1]"
13,9143,1471,0,0,"[13,9143,1471,0,0]"
11,7002,945,0,1,"[11,7002,945,0,1]"
59,20349,1204,1,1,"[59,20349,1204,1,1]"
13,23808,3215,1,0,"[13,23808,3215,1,0]"
34,22365,2382,1,0,"[34,22365,2382,1,0]"
52,4589,3307,0,0,"[52,4589,3307,0,0]"
45,31384,2747,0,0,"[45,31384,2747,0,0]"
19,11893,1626,0,0,"[19,11893,1626,0,0]"
26,19292,31,1,0,"[26,19292,31,1,0]"
30,17974,2486,0,1,"[30,17974,2486,0,1]"
4,32260,2341,0,0,"[4,32260,2341,0,0]"
49,19684,1004,0,1,"[49,19684,1004,0,1]"
41,16310,1092,0,1,"[41,16310,1092,0,1]"
37,5191,321,0,0,"[37,5191,321,0,0]"
60,16307,2483,0,1,"[60,16307,2483,0,1]"
30,23129,2942,0,1,"[30,23129,2942,0,1]"
49,20274,1602,1,1,"[49,20274,1602,1,1]"
57,18505,85,1,0,"[57,18505,85,1,0]"
4,26484,3313,0,1,"[4,26484,3313,0,1]"
9,14683,3454,1,0,"[9,14683,3454,1,0]"
19,20636,1554,1,0,"[19,20636,1554,1,0]"
58,22517,1521,1,1,"[58,22517,1521,1,1]"
46,11664,581,1,0,"[46,11664,581,1,0]"
2,26652,3997,0,0,"[2,26652,3997,0,0]"
16,1963,179,0,1,"[16,1963,179,0,1]"
42,30370,749,1,1,"[42,30370,749,1,1]"
3,32010,2639,0,0,"[3,32010,2639,0,0]"
46,16449,2843,0,0,"[46,16449,2843,0,0]"
7,32419,3493,1,0,"[7,32419,3493,1,0]"
1,16182,1407,0,1,"[1,16182,1407,0,1]"
22,15789,1444,1,1,"[22,15789,1444,1,1]"
60,8756,1802,0,0,"[60,8756,1802,0,0]"
32,16695,3076,1,1,"[32,16695,3076,1,1]"
38,32712,793,1,1,"[38,32712,793,1,1]"
57,3973,2168,0,0,"[57,3973,2168,0,0]"
63,28653,2194,1,1,"[63,28653,2194,1,1]"
48,17316,2793,0,1,"[48,17316,2793,0,1]"
21,19183,1253,0,1,"[21,19183,1253,0,1]"
33,5349,3487,1,1,"[33,5349,3487,1,1]"
13,17390,2270,1,1,"[13,17390,2270,1,1]"
37,13711,103,1,0,"[37,13711,103,1,0]"
2,4942,962,0,1,"[2,4942,962,0,1]"
34,16187,2520,1,1,"[34,16187,2520,1,1]"
38,3815,3584,1,0,"[38,3815,3584,1,0]"
53,19859,3782,1,0,"[53,19859,3782,1,0]"
17,5539,3259,1,1,"[17,5539,3259,1,1]"
10,14261,367,0,1,"[10,14261,367,0,1]"
36,1336,950,0,0,"[36,1336,950,0,0]"
54,14968,281,1,1,"[54,14968,281,1,1]"
37,24244,3636,1,1,"[37,24244,3636,1,1]"
49,19821,1446,1,0,"[49,19821,1446,1,0]"
63,9456,1179,1,1,"[63,9456,1179,1,1]"
16,5283,2076,1,0,"[16,5283,2076,1,0]"
27,20554,2750,0,0,"[27,20554,2750,0,0]"
27,16771,3886,0,0,"[27,16771,3886,0,0]"
41,13667,3475,0,0,"[41,13667,3475,0,0]"
34,23164,2288,1,1,"[34,23164,2288,1,1]"
41,28966,421,1,1,"[41,28966,421,1,1]"
58,18423,1052,0,0,"[58,18423,1052,0,0]"
24,8575,3357,0,1,"[24,8575,3357,0,1]"
21,30978,2766,0,1,"[21,30978,2766,0,1]"
2,26388,3221,0,1,"[2,26388,3221,0,1]"
1,19535,7,0,1,"[1,19535,7,0,1]"
15,1320,884,1,1,"[15,1320,884,1,1]"
28,15789,1992,0,0,"[28,15789,1992,0,0]"
8,29705,2388,0,1,"[8,29705,2388,0,1]"
63,3346,2993,0,0,"[63,3346,2993,0,0]"
7,3012,3152,1,0,"[7,3012,3152,1,0]"
26,3774,1207,1,0,"[26,3774,1207,1,0]"
