batchsize,matsize,channels_in,poolsize,strides,padding,elements_matrix,hashkey
16,302,26,4,3,1,91204,"[16,302,26,4,3,1,91204]"
33,400,19,6,3,1,160000,"[33,400,19,6,3,1,160000]"
46,242,13,3,2,0,58564,"[46,242,13,3,2,0,58564]"
38,133,38,3,2,1,17689,"[38,133,38,3,2,1,17689]"
5,424,7,7,1,1,179776,"[5,424,7,7,1,1,179776]"
56,483,4,2,4,1,233289,"[56,483,4,2,4,1,233289]"
27,415,8,2,2,1,172225,"[27,415,8,2,2,1,172225]"
24,352,21,2,1,1,123904,"[24,352,21,2,1,1,123904]"
57,206,23,2,4,0,42436,"[57,206,23,2,4,0,42436]"
62,118,29,6,4,1,13924,"[62,118,29,6,4,1,13924]"
31,113,41,4,2,1,12769,"[31,113,41,4,2,1,12769]"
56,117,29,5,2,1,13689,"[56,117,29,5,2,1,13689]"
52,411,23,1,2,0,168921,"[52,411,23,1,2,0,168921]"
45,202,1,1,4,1,40804,"[45,202,1,1,4,1,40804]"
55,219,11,6,4,0,47961,"[55,219,11,6,4,0,47961]"
9,346,24,5,3,0,119716,"[9,346,24,5,3,0,119716]"
38,508,1,4,3,1,258064,"[38,508,1,4,3,1,258064]"
6,14,486,4,1,0,196,"[6,14,486,4,1,0,196]"
10,55,137,6,3,0,3025,"[10,55,137,6,3,0,3025]"
31,142,60,1,2,0,20164,"[31,142,60,1,2,0,20164]"
36,113,56,3,2,0,12769,"[36,113,56,3,2,0,12769]"
9,34,16,7,4,1,1156,"[9,34,16,7,4,1,1156]"
61,404,17,4,3,0,163216,"[61,404,17,4,3,0,163216]"
44,215,14,4,4,0,46225,"[44,215,14,4,4,0,46225]"
6,317,15,6,4,0,100489,"[6,317,15,6,4,0,100489]"
55,221,15,3,4,0,48841,"[55,221,15,3,4,0,48841]"
28,319,26,7,3,1,101761,"[28,319,26,7,3,1,101761]"
49,417,15,4,3,1,173889,"[49,417,15,4,3,1,173889]"
37,88,92,7,4,1,7744,"[37,88,92,7,4,1,7744]"
5,460,15,3,1,0,211600,"[5,460,15,3,1,0,211600]"
26,464,19,6,3,1,215296,"[26,464,19,6,3,1,215296]"
63,56,23,5,1,1,3136,"[63,56,23,5,1,1,3136]"
2,77,115,1,1,0,5929,"[2,77,115,1,1,0,5929]"
47,405,3,6,2,1,164025,"[47,405,3,6,2,1,164025]"
