batchsize,dim_input,dim_output,use_bias,activation_fct,hashkey
52,23925,3244,0,0,"[52,23925,3244,0,0]"
30,23877,3150,0,1,"[30,23877,3150,0,1]"
39,30543,4047,1,1,"[39,30543,4047,1,1]"
36,15290,3777,0,0,"[36,15290,3777,0,0]"
9,20702,3536,0,0,"[9,20702,3536,0,0]"
25,25610,62,1,0,"[25,25610,62,1,0]"
6,17046,2991,1,1,"[6,17046,2991,1,1]"
49,21743,497,0,0,"[49,21743,497,0,0]"
30,4941,1696,0,0,"[30,4941,1696,0,0]"
3,19380,486,1,1,"[3,19380,486,1,1]"
15,303,2432,0,0,"[15,303,2432,0,0]"
43,27292,3521,1,0,"[43,27292,3521,1,0]"
26,629,3483,0,1,"[26,629,3483,0,1]"
43,24398,3501,1,0,"[43,24398,3501,1,0]"
43,20550,3284,0,0,"[43,20550,3284,0,0]"
9,13246,4038,0,1,"[9,13246,4038,0,1]"
9,19391,1045,0,1,"[9,19391,1045,0,1]"
34,18082,3414,1,1,"[34,18082,3414,1,1]"
64,1561,1366,1,0,"[64,1561,1366,1,0]"
54,21838,2632,1,0,"[54,21838,2632,1,0]"
51,14477,1247,0,1,"[51,14477,1247,0,1]"
1,9279,1470,0,1,"[1,9279,1470,0,1]"
12,29050,3537,0,1,"[12,29050,3537,0,1]"
35,27014,3028,1,1,"[35,27014,3028,1,1]"
56,10441,1663,0,1,"[56,10441,1663,0,1]"
31,24018,1235,1,0,"[31,24018,1235,1,0]"
12,4294,1292,0,1,"[12,4294,1292,0,1]"
27,8160,147,0,1,"[27,8160,147,0,1]"
43,26629,821,1,1,"[43,26629,821,1,1]"
51,24474,942,1,1,"[51,24474,942,1,1]"
32,26144,1956,0,0,"[32,26144,1956,0,0]"
6,28487,963,0,0,"[6,28487,963,0,0]"
53,16653,3222,1,1,"[53,16653,3222,1,1]"
55,31352,1364,0,0,"[55,31352,1364,0,0]"
31,29318,2697,0,0,"[31,29318,2697,0,0]"
26,13300,2388,0,0,"[26,13300,2388,0,0]"
17,32561,2917,0,0,"[17,32561,2917,0,0]"
42,22908,3001,0,0,"[42,22908,3001,0,0]"
32,9460,2390,0,1,"[32,9460,2390,0,1]"
18,14264,723,0,1,"[18,14264,723,0,1]"
49,24190,3078,0,1,"[49,24190,3078,0,1]"
14,17102,1352,1,0,"[14,17102,1352,1,0]"
29,5237,2446,0,1,"[29,5237,2446,0,1]"
20,18646,2329,1,1,"[20,18646,2329,1,1]"
28,18912,1645,1,1,"[28,18912,1645,1,1]"
13,13540,1956,0,0,"[13,13540,1956,0,0]"
13,17255,1610,0,0,"[13,17255,1610,0,0]"
9,17089,1988,1,0,"[9,17089,1988,1,0]"
12,13948,1806,0,1,"[12,13948,1806,0,1]"
8,21077,3140,0,0,"[8,21077,3140,0,0]"
54,10452,1526,1,0,"[54,10452,1526,1,0]"
58,30116,2681,1,0,"[58,30116,2681,1,0]"
62,32127,3220,1,1,"[62,32127,3220,1,1]"
21,2695,782,1,1,"[21,2695,782,1,1]"
39,26501,2384,0,0,"[39,26501,2384,0,0]"
6,31378,4033,1,1,"[6,31378,4033,1,1]"
52,5072,2714,1,0,"[52,5072,2714,1,0]"
52,29977,910,1,0,"[52,29977,910,1,0]"
28,22402,3926,0,1,"[28,22402,3926,0,1]"
19,5226,3730,1,1,"[19,5226,3730,1,1]"
33,14206,1403,0,1,"[33,14206,1403,0,1]"
9,4886,2100,1,1,"[9,4886,2100,1,1]"
4,32244,2985,0,0,"[4,32244,2985,0,0]"
49,5073,393,0,0,"[49,5073,393,0,0]"
54,13480,3163,1,1,"[54,13480,3163,1,1]"
6,27518,3278,0,1,"[6,27518,3278,0,1]"
32,10764,2701,1,1,"[32,10764,2701,1,1]"
1,27542,3488,0,0,"[1,27542,3488,0,0]"
33,27438,3804,1,0,"[33,27438,3804,1,0]"
31,2076,3518,1,1,"[31,2076,3518,1,1]"
16,14169,2406,1,0,"[16,14169,2406,1,0]"
43,28744,1983,0,1,"[43,28744,1983,0,1]"
11,13380,3087,0,0,"[11,13380,3087,0,0]"
17,20752,1342,1,1,"[17,20752,1342,1,1]"
33,11804,1795,1,1,"[33,11804,1795,1,1]"
4,13747,3488,0,1,"[4,13747,3488,0,1]"
34,5638,3079,0,1,"[34,5638,3079,0,1]"
28,14462,3357,0,0,"[28,14462,3357,0,0]"
62,25759,2263,1,1,"[62,25759,2263,1,1]"
38,9421,2174,0,1,"[38,9421,2174,0,1]"
1,16509,2908,0,1,"[1,16509,2908,0,1]"
64,14964,1054,1,0,"[64,14964,1054,1,0]"
54,18113,2885,0,0,"[54,18113,2885,0,0]"
49,29703,848,1,0,"[49,29703,848,1,0]"
19,7550,544,0,1,"[19,7550,544,0,1]"
18,30692,2596,0,0,"[18,30692,2596,0,0]"
59,21861,3223,1,1,"[59,21861,3223,1,1]"
61,10014,3812,0,0,"[61,10014,3812,0,0]"
15,30934,3764,0,0,"[15,30934,3764,0,0]"
22,29590,1493,0,1,"[22,29590,1493,0,1]"
