batchsize,matsize,channels_in,poolsize,strides,padding,elements_matrix,hashkey
63,404,17,7,2,1,163216,"[63,404,17,7,2,1,163216]"
33,392,21,7,2,0,153664,"[33,392,21,7,2,0,153664]"
15,328,27,4,3,1,107584,"[15,328,27,4,3,1,107584]"
63,168,16,7,3,1,28224,"[63,168,16,7,3,1,28224]"
56,452,17,6,1,1,204304,"[56,452,17,6,1,1,204304]"
60,292,17,4,4,1,85264,"[60,292,17,4,4,1,85264]"
54,119,23,5,1,0,14161,"[54,119,23,5,1,0,14161]"
45,157,24,7,4,1,24649,"[45,157,24,7,4,1,24649]"
50,146,23,3,1,1,21316,"[50,146,23,3,1,1,21316]"
43,343,21,3,2,0,117649,"[43,343,21,3,2,0,117649]"
4,237,40,1,1,0,56169,"[4,237,40,1,1,0,56169]"
9,238,5,4,4,0,56644,"[9,238,5,4,4,0,56644]"
10,107,34,6,2,1,11449,"[10,107,34,6,2,1,11449]"
17,298,29,2,4,1,88804,"[17,298,29,2,4,1,88804]"
49,431,18,5,3,0,185761,"[49,431,18,5,3,0,185761]"
34,395,4,1,1,1,156025,"[34,395,4,1,1,1,156025]"
24,183,15,5,2,0,33489,"[24,183,15,5,2,0,33489]"
26,201,44,3,3,0,40401,"[26,201,44,3,3,0,40401]"
26,135,34,6,2,1,18225,"[26,135,34,6,2,1,18225]"
30,286,24,4,3,1,81796,"[30,286,24,4,3,1,81796]"
15,432,21,5,3,0,186624,"[15,432,21,5,3,0,186624]"
40,475,19,6,1,1,225625,"[40,475,19,6,1,1,225625]"
52,399,10,7,4,0,159201,"[52,399,10,7,4,0,159201]"
39,423,5,4,1,0,178929,"[39,423,5,4,1,0,178929]"
8,173,40,5,1,1,29929,"[8,173,40,5,1,1,29929]"
47,289,16,1,4,0,83521,"[47,289,16,1,4,0,83521]"
59,158,51,1,2,0,24964,"[59,158,51,1,2,0,24964]"
13,211,41,5,4,0,44521,"[13,211,41,5,4,0,44521]"
31,96,87,3,4,1,9216,"[31,96,87,3,4,1,9216]"
44,313,6,3,1,1,97969,"[44,313,6,3,1,1,97969]"
43,292,11,2,4,0,85264,"[43,292,11,2,4,0,85264]"
62,461,15,3,1,0,212521,"[62,461,15,3,1,0,212521]"
55,235,8,4,2,1,55225,"[55,235,8,4,2,1,55225]"
61,148,8,1,1,1,21904,"[61,148,8,1,1,1,21904]"
44,434,9,2,2,0,188356,"[44,434,9,2,2,0,188356]"
5,93,59,3,1,1,8649,"[5,93,59,3,1,1,8649]"
42,460,9,2,2,0,211600,"[42,460,9,2,2,0,211600]"
43,151,26,2,4,0,22801,"[43,151,26,2,4,0,22801]"
21,436,13,2,3,1,190096,"[21,436,13,2,3,1,190096]"
31,110,70,4,2,0,12100,"[31,110,70,4,2,0,12100]"
57,91,104,5,1,0,8281,"[57,91,104,5,1,0,8281]"
50,409,6,1,3,0,167281,"[50,409,6,1,3,0,167281]"
58,428,13,7,1,0,183184,"[58,428,13,7,1,0,183184]"
14,5,496,4,2,0,25,"[14,5,496,4,2,0,25]"
30,244,16,2,1,1,59536,"[30,244,16,2,1,1,59536]"
44,251,15,4,1,0,63001,"[44,251,15,4,1,0,63001]"
12,280,20,4,2,1,78400,"[12,280,20,4,2,1,78400]"
23,395,11,7,3,0,156025,"[23,395,11,7,3,0,156025]"
1,225,21,6,3,0,50625,"[1,225,21,6,3,0,50625]"
44,206,39,4,1,1,42436,"[44,206,39,4,1,1,42436]"
61,91,24,2,1,1,8281,"[61,91,24,2,1,1,8281]"
42,27,237,7,4,1,729,"[42,27,237,7,4,1,729]"
55,43,167,4,4,1,1849,"[55,43,167,4,4,1,1849]"
18,60,140,5,1,0,3600,"[18,60,140,5,1,0,3600]"
1,305,20,1,2,0,93025,"[1,305,20,1,2,0,93025]"
35,13,449,3,4,0,169,"[35,13,449,3,4,0,169]"
2,177,28,6,4,0,31329,"[2,177,28,6,4,0,31329]"
27,355,17,2,3,0,126025,"[27,355,17,2,3,0,126025]"
63,174,48,2,2,1,30276,"[63,174,48,2,2,1,30276]"
7,504,11,1,1,0,254016,"[7,504,11,1,1,0,254016]"
43,312,11,1,3,0,97344,"[43,312,11,1,3,0,97344]"
62,483,4,2,3,0,233289,"[62,483,4,2,3,0,233289]"
8,87,36,6,3,1,7569,"[8,87,36,6,3,1,7569]"
30,32,46,7,1,1,1024,"[30,32,46,7,1,1,1024]"
39,5,1646,5,4,1,25,"[39,5,1646,5,4,1,25]"
41,443,19,3,3,0,196249,"[41,443,19,3,3,0,196249]"
63,83,63,7,4,1,6889,"[63,83,63,7,4,1,6889]"
5,183,44,1,1,0,33489,"[5,183,44,1,1,0,33489]"
56,462,4,1,2,0,213444,"[56,462,4,1,2,0,213444]"
37,442,19,2,3,1,195364,"[37,442,19,2,3,1,195364]"
19,474,3,1,3,1,224676,"[19,474,3,1,3,1,224676]"
23,426,17,7,1,1,181476,"[23,426,17,7,1,1,181476]"
57,77,31,7,3,0,5929,"[57,77,31,7,3,0,5929]"
2,467,4,2,2,0,218089,"[2,467,4,2,2,0,218089]"
10,395,4,2,2,1,156025,"[10,395,4,2,2,1,156025]"
53,331,10,5,1,0,109561,"[53,331,10,5,1,0,109561]"
20,58,123,2,1,0,3364,"[20,58,123,2,1,0,3364]"
53,492,4,4,1,0,242064,"[53,492,4,4,1,0,242064]"
25,328,5,1,1,1,107584,"[25,328,5,1,1,1,107584]"
34,326,9,5,4,1,106276,"[34,326,9,5,4,1,106276]"
22,388,21,3,4,1,150544,"[22,388,21,3,4,1,150544]"
22,252,10,6,2,1,63504,"[22,252,10,6,2,1,63504]"
53,101,98,3,1,0,10201,"[53,101,98,3,1,0,10201]"
9,393,5,4,2,0,154449,"[9,393,5,4,2,0,154449]"
50,80,114,7,3,0,6400,"[50,80,114,7,3,0,6400]"
51,330,5,6,1,1,108900,"[51,330,5,6,1,1,108900]"
27,172,26,7,4,0,29584,"[27,172,26,7,4,0,29584]"
18,402,15,3,4,0,161604,"[18,402,15,3,4,0,161604]"
44,458,8,3,1,0,209764,"[44,458,8,3,1,0,209764]"
50,80,103,1,2,1,6400,"[50,80,103,1,2,1,6400]"
2,377,15,6,3,0,142129,"[2,377,15,6,3,0,142129]"
38,45,68,6,2,1,2025,"[38,45,68,6,2,1,2025]"
42,189,7,7,4,1,35721,"[42,189,7,7,4,1,35721]"
2,225,6,2,3,1,50625,"[2,225,6,2,3,1,50625]"
24,272,28,4,4,0,73984,"[24,272,28,4,4,0,73984]"
29,118,49,1,1,1,13924,"[29,118,49,1,1,1,13924]"
13,425,12,4,1,1,180625,"[13,425,12,4,1,1,180625]"
33,252,26,6,3,1,63504,"[33,252,26,6,3,1,63504]"
39,85,56,5,4,0,7225,"[39,85,56,5,4,0,7225]"
2,508,13,6,2,0,258064,"[2,508,13,6,2,0,258064]"
30,154,50,4,2,1,23716,"[30,154,50,4,2,1,23716]"
63,269,33,3,3,0,72361,"[63,269,33,3,3,0,72361]"
33,247,38,5,2,1,61009,"[33,247,38,5,2,1,61009]"
1,92,80,6,1,1,8464,"[1,92,80,6,1,1,8464]"
19,126,75,1,1,0,15876,"[19,126,75,1,1,0,15876]"
53,331,17,1,1,1,109561,"[53,331,17,1,1,1,109561]"
49,342,21,7,3,0,116964,"[49,342,21,7,3,0,116964]"
6,295,24,6,4,1,87025,"[6,295,24,6,4,1,87025]"
23,421,9,3,4,0,177241,"[23,421,9,3,4,0,177241]"
35,73,15,3,1,1,5329,"[35,73,15,3,1,1,5329]"
43,89,80,4,2,0,7921,"[43,89,80,4,2,0,7921]"
19,319,22,3,1,1,101761,"[19,319,22,3,1,1,101761]"
60,463,20,2,4,1,214369,"[60,463,20,2,4,1,214369]"
63,423,18,2,3,0,178929,"[63,423,18,2,3,0,178929]"
1,426,22,5,4,0,181476,"[1,426,22,5,4,0,181476]"
7,219,15,4,3,1,47961,"[7,219,15,4,3,1,47961]"
55,112,58,5,1,1,12544,"[55,112,58,5,1,1,12544]"
38,228,3,3,1,0,51984,"[38,228,3,3,1,0,51984]"
27,41,207,4,3,0,1681,"[27,41,207,4,3,0,1681]"
64,128,2,3,1,1,16384,"[64,128,2,3,1,1,16384]"
15,372,2,3,4,0,138384,"[15,372,2,3,4,0,138384]"
19,413,11,4,1,0,170569,"[19,413,11,4,1,0,170569]"
30,211,10,1,3,0,44521,"[30,211,10,1,3,0,44521]"
54,113,79,7,3,1,12769,"[54,113,79,7,3,1,12769]"
14,250,20,6,3,1,62500,"[14,250,20,6,3,1,62500]"
63,93,8,6,2,1,8649,"[63,93,8,6,2,1,8649]"
11,279,24,4,2,1,77841,"[11,279,24,4,2,1,77841]"
25,420,6,4,1,1,176400,"[25,420,6,4,1,1,176400]"
17,79,104,7,2,0,6241,"[17,79,104,7,2,0,6241]"
20,381,7,3,2,0,145161,"[20,381,7,3,2,0,145161]"
4,384,3,5,2,0,147456,"[4,384,3,5,2,0,147456]"
34,388,3,5,4,0,150544,"[34,388,3,5,4,0,150544]"
19,458,9,5,4,0,209764,"[19,458,9,5,4,0,209764]"
21,263,14,4,2,1,69169,"[21,263,14,4,2,1,69169]"
57,457,12,2,2,1,208849,"[57,457,12,2,2,1,208849]"
12,353,6,6,4,1,124609,"[12,353,6,6,4,1,124609]"
47,288,19,3,2,0,82944,"[47,288,19,3,2,0,82944]"
18,449,1,7,2,0,201601,"[18,449,1,7,2,0,201601]"
35,163,34,1,4,1,26569,"[35,163,34,1,4,1,26569]"
49,152,23,3,3,1,23104,"[49,152,23,3,3,1,23104]"
52,266,34,3,1,0,70756,"[52,266,34,3,1,0,70756]"
58,181,26,2,4,0,32761,"[58,181,26,2,4,0,32761]"
64,72,86,5,4,1,5184,"[64,72,86,5,4,1,5184]"
19,345,15,4,1,0,119025,"[19,345,15,4,1,0,119025]"
15,362,12,4,3,1,131044,"[15,362,12,4,3,1,131044]"
62,58,117,1,3,0,3364,"[62,58,117,1,3,0,3364]"
15,475,11,3,1,0,225625,"[15,475,11,3,1,0,225625]"
2,376,12,4,2,0,141376,"[2,376,12,4,2,0,141376]"
2,413,22,6,2,1,170569,"[2,413,22,6,2,1,170569]"
54,78,12,3,2,0,6084,"[54,78,12,3,2,0,6084]"
23,220,40,4,2,1,48400,"[23,220,40,4,2,1,48400]"
36,482,11,7,3,0,232324,"[36,482,11,7,3,0,232324]"
60,10,843,3,1,1,100,"[60,10,843,3,1,1,100]"
46,276,20,3,1,0,76176,"[46,276,20,3,1,0,76176]"
60,284,3,6,3,0,80656,"[60,284,3,6,3,0,80656]"
34,202,5,4,4,0,40804,"[34,202,5,4,4,0,40804]"
